exp,perplexity,score,dist_from_mean_emb,num_distinct_1grams,num_distinct_2grams,entropy_2grams,entropy_4grams,min_edit_distance,mean_edit_distance,max_edit_distance
iterative_beam_search_bs5_ibs100,7214.22895883948,-8.883810599085635,0.026786506,0.6676512409644288,0.5876767057816907,2.611565882986566,nan,1.0,2.1067777777777774,3.84
random_sampling_temp1.0_top100,1.2391098465547499,-0.21439325614634452,0.053544644,0.563684897169758,0.754114063020317,3.820946446820746,3.5241133676646177,2.26,7.565555555555555,14.445
random_sampling_temp1.0,1.6243684896942956,-0.48511911852212053,0.060534153,0.7312985102013633,0.8089269266255706,3.8164319826399615,3.3370190782362403,1.87,7.35588888888889,14.68
standard_beam_search_bs100_npad0.3,4.368097048949568,-1.474327456361894,0.031852018,0.6176085269866934,0.6658877649493118,3.1976733961868864,2.245249800520537,1.34,3.792,5.805
standard_beam_search_bs100,7.401145759737732,-2.0016348206218164,0.036202293,0.5199061761942307,0.6088472481610328,3.0117754321206416,2.1583944155058425,1.045,3.488222222222222,5.84
diverse_beam_search_bs100_dbs0.8,7.023995439871673,-1.9493322071116015,0.09508112,0.23496903329350657,0.26326547507385073,3.5694845415392984,3.5322570711976033,1.09,14.401111111111113,32.615
beam_search_bs100_kpercand3,7.486080760822597,-2.0130453976717866,0.036984574,0.5923836628200763,0.6429541736416453,3.0653141182532715,2.0949734400358038,1.1,3.497888888888889,5.64
random_sampling_temp1.3,1.709258788550647,-0.536059819557007,0.078853734,0.8348481736760089,0.859061881135268,4.130775557188675,3.7715481258772217,1.92,10.714777777777778,24.13
clustering_beam_search_bs100_cbs5,7.401145919347139,-2.001634842187316,0.03821045,0.5169496735226663,0.6002542234398207,3.013398974365289,2.238487193874819,1.045,3.594888888888889,6.065
random_sampling_temp0.7,1.350350002918165,-0.3003638202687667,0.050705872,0.5943390268943606,0.7551668207898549,3.7673836493059194,3.412275246043452,2.075,6.938666666666666,12.65
