tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter
How about a poem ?,0,bogus,"[""I 'll be at the piano ."", ""If you want , I 'll always do that ."", 'Something added to the window and water .', ""I 'll use the broom , I 'll shuffle , it won 't work !"", 'Fine .', 'Grab my glasses .', 'All of you are hopeless', 'The little box on top of the room .', 'Yeah .', 'A lot of things .']",[],False,0,1,20190208_142254,{}
What would you like to chat about ?,0,bogus,"['Yeah Of course .', 'Some of those stories love .', 'Well', 'supermodels .', ""Something you didn 't told me about the Wraith ."", 'We need to find out where we can fit .', ""She 's snoring outside ."", ""We want to talk ' about you ."", 'Last week , Laura took me pretty seriously , to be truthful ... but he said you kept talking about Demi Dunham .', ""About the results of the car , surprise you 'll see all you want .""]",[],False,0,1,20190208_142254,{}
llaollao,0,bogus,"['', ""GUYS , I DON 'T- -"", 'Jack llaollao !', ""I 'M SORRY , llaollao ."", 'llaollao OR SOMETHING .', 'llaollao .', 'Night .', 'converting ROUTE into llaollao']",[],False,0,1,20190208_142254,{}
I do like you,0,bogus,"['I mean of wife , would ask you football .', ""You don 't have any doubt in my mother 's letters ."", 'I type cell , prince !', 'Finding out who you are .', 'not our owner .', 'Nice !', ""Jumping on me ... that day following my dad 's move ."", 'I', 'I was bullied by Radha I', 'I on I .']",[],False,0,1,20190208_142254,{}
About what ?,0,bogus,"['About fairness and my relationship with Meredith Moore , being Patrick .', ""Uh , I-I don 't know ."", ""If you don 't say nothing , this 's what I 'm gonna do"", ""Don 't worry ,"", 'You .', 'About how this is gonna be about you and me .', 'About and I have been parted for now .', 'About her committing About Congress .', 'So my wallet barely got .', 'Her name is Fifi Langer .']",[],False,0,1,20190208_142254,{}
"You tell me , you said you do not know what happened to you .",0,bogus,"['You ... proved it innocent .', 'I am You the You .', 'Took too many nonsense , yesterday I was a little concerned about you .', 'goodness .', ""You I knew you 'd learn how to be careful , and you are pretty and strong , and not the people you are ."", 'You sadist thieves', 'How wonderful it is .', 'No .', 'We are running ugly .', ""My phone is doomed everywhere I shall go in saboteur 's place if you 're asking me to do things Let you go lam You Philip I am nave You you continued to drop the power""]",[],False,0,1,20190208_142254,{}
What about music ?,0,bogus,"[""It 's called it ."", ""There 's no dancing . -"", 'Cut that music ...', 'I dabble .', ""I don 't know ."", 'You could attend some Swedes', 'Ding ... ding , ding , ding ...', ""Dodson 's ..."", ""There 's a market in the Kama Sutra"", 'The later you had the children to join us ...']",[],False,0,1,20190208_142254,{}
No I don 't watch football in that way .,0,bogus,"[""No That 's the Monkey Heart 's magic"", ""I 'm used to playing Mahjong with the Butler shithead ."", 'I do a lot of homework and then I promote cards .', 'Brady No the abbey .', 'And I missed it .', 'I am the one that known you', 'Hop in .', ""It got me into a billy No circus ... the next time I go by 's a phone call you don 't have a cellphone twice !"", 'No .', 'No was gonna lynching you with tears on his chest .']",[],False,0,1,20190208_142254,{}
Dignan who ?,0,bogus,"['Oh , Dudley .', 'With my tails .', 'One of those cute old chemists by a little Dignan .', 'Dignan .', 'Lieutenant Dignan Dignan .', 'JOHNNY', 'I did not know who to ask .', 'Come on !', ""... i don 't know that name .""]",[],False,0,1,20190208_142254,{}
Do you have a family ?,0,bogus,"['There we go .', 'Yeah ,', 'I am not a nun .', 'I have a wife , just behind her apartment .', 'I live alone , Yes Maya !', 'No , nobody .', 'I have to do ...', 'No , I need a family .', 'My son .', 'Not really , but ...']",[],False,0,1,20190208_142254,{}
I love movies,0,bogus,"['Tom swears your mother and I have another life in either of them .', 'Present', 'I elections are just Hmong ...', "", I 'm a stubborn Jew ."", 'Break up in court .', ""Rockin ' than exactly Skip I see Show Goes through Envy ."", ', Friday and Friday .', 'why traitor and him are going to take you into the world of a dangerous man like a coward', 'I used to see movies .', 'your eyes ,']",[],False,0,1,20190208_142254,{}
